UNSPSC Number,UNSPSC Description
27131609,PNEUMATIC SILENCERS
27131613,AIR COUPLING
27131701,PNEUMATIC CYLINDERS
30101504,STEEL ANGLES
30101506,ALUMINUM ANGLES
30101516,RUBBER ANGLES
30101704,STEEL BEAMS
30101804,STEEL CHANNELS
30102006,ALUMINUM FOIL
30102015,PLASTIC FOIL
3010220401,SHELLS (TOWERS)
3010220402,HEAVY PLATES (TOWERS)
30102206,ALUMINUM PLATE
30102216,RUBBER PLATE
30102304,STEEL PROFILES
30102316,RUBBER PROFILES
30102903,METAL POSTS
30103101,STEEL RAIL
30103201,STEEL GRATING
30103202,STAINLESS STEEL GRATING
30103203,ALUMINUM GRATING
30103605,WOOD PLANKS
30103616,COMPOSITE FRAMEWORK
30103617,WOODEN FRAMEWORK
30103618,STEEL FRAMEWORK
30104001,ROUND HOLLOW STRUCTURAL SECTION HSS
30104002,SQUARE HOLLOW STRUCTURAL SECTION HSS
30104003,RECTANGULAR HOLLOW STRUCTURAL SECTION HSS
30111903,WIRE MESH SHEET
30141512,THERMAL INSULATION KIT
30141601,ACOUSTICAL INSULATION
30151703,GUTTERS
30161720,FLOOR PANEL
30161901,LOUVERS
30161908,STAIR PARTS
30162002,SPECIALTY LAMINATE
3017150501,DOOR ASSEMBLY
3017150503,DOOR WELDED
3017150504,DOOR ACCESSORIES
30171507,DOOR FRAMES
30181701,SPIGOT
3019150110,LADDER ASM TOWER COMPLETE
3019150120,CABLE LADDER
3019150130,RAW LADDER
3019150140,BASE LADDERS
3019150150,CABLE LADDER ASSEMBLY
3019150180,STANDARD LADDERS
3019150181,STANDARD LADDER WITH PLATFORM & ASSEMBLY
3019150201,PLATFORM ASSEMBLY
3019150202,PLATFORM FLOOR PLATES WITH RADIUS
3019150203,PLATFORM FLOOR PLATES RECTANGULAR
3019150204,PLATFORM KICKPLATES
3019150205,DISTANCE PROFILES
3019150206,HATCH ASSEMBLY
3019150207,PLATFORM ACCESSORIES
3019150208,REST PLATFORM
3019150209,HATCH WELDED
3019150210,PARTS FOR PLATFORMS-KIT SET
3019150211,PARTS FOR PLATFORM-PHANTOMS
3019150220,GALLERY ASSEMBLY
3019150221,GALLERY WELDED
3019150225,GALLERY DOOR
3019150226,PLATE
3019150231,SWING GATES (ASSEMBLIES)
3019150232,SWING GATES WELDED ASSEMBLY
3019150235,HELI HOIST PLATFORM
30191607,SCAFFOLDING COUNTERWEIGHT
30191611,SCAFFOLDING FIXATION DEVICE
30191614,LADDER TRAY
30191615,LADDER LEG
3026360501,CARBON STEEL SAE1000 SERIES HOT ROLL BAR-ROUND
3026360502,CARBON STEEL SAE1000 SERIES HOT ROLL BAR-FLAT
3026360503,CARBON STEEL SAE1000 SERIES HOT ROLL BAR-HEXAGON
31101618,DUCTILE IRON SAND CASTING
31111501,ALUMINUM PROFILE EXTRUSIONS
31121017,COMPOSITE V PROCESS MACHINED CASTINGS
31121203,STEEL SAND MACHINED CASTINGS
31121206,ALUMINUM SAND MACHINED CASTINGS
31121222,DUCTILE IRON SAND MACHINED CASTING
31121224,GREY IRON SAND MACHINED CASTING
31121517,COMPOSITE SHELL MOLD MACHINED CASTINGS
31133109,HOT FORGED MACHINED COPPER FORGING
31141501,PLASTIC INJECTION MOLDINGS
31141502,RUBBER INJECTION MOLDINGS
31141601,PLASTIC VACUUM MOLDINGS
31151502,POLYESTER ROPE
31151503,POLYPROPYLENE ROPE
